,Title,Description,Price,Rating,Seller
10,AMD Ryzen 5 3rd Gen - RYZEN 5 3600 Matisse (Zen 2) 6-Core 3.6 GHz (4.2 GHz Max Boost) Socket AM4 65W 100-100000031BOX Desktop Processor,"['3rd Gen Ryzen', 'Socket AM4', 'Max Boost Frequency 4.2 GHz', 'DDR4 Support', 'L2 Cache 3MB', 'L3 Cache 32MB', 'Thermal Design Power 65W', 'With Wraith Stealth cooler']",$114.99 ,4.7,Sold & Shipped by Newegg
11,Intel Core i5-12600K - Core i5 12th Gen Alder Lake 10-Core (6P+4E) 3.7 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512600K,"['Intel 7 Alder Lake Processor Base Power: 125W', 'Maximum Turbo Power: 150W \r', '20MB L3 Cache \r', '9.5MB L2 Cache \r', 'Intel UHD Graphics 770 \r', 'Windows 11 Supported']",$251.29 ,4.9,
12,AMD Ryzen 5 5500 - Ryzen 5 5000 Series 6-Core Socket AM4 65W Desktop Processor - 100-100000457BOX,['65W'],$98.98 ,4.8,Sold & Shipped by Newegg
13,Intel Core i3-12100 - Core i3 12th Gen Alder Lake Quad-Core 3.3 GHz LGA 1700 Processor 60W Intel UHD Graphics 730 Desktop Processor - BX8071512100,"['Intel 7 Alder Lake Processor Base Power: 60W', 'Maximum Turbo Power: 89W \r', '12MB L3 Cache \r', '5MB L2 Cache \r', 'Intel UHD Graphics 730 \r', 'Windows 11 Supported']",$129.99 ,4.9,
14,AMD Ryzen 5 4600G - Ryzen 5 4000 G-Series Renoir (Zen 2) 6-Core 3.7 GHz Socket AM4 65W AMD Radeon Graphics Desktop Processor - 100-100000147BOX,"['7nm Renoir (Zen 2) 65W \r', '8MB L3 Cache \r', '3MB L2 Cache \r', 'AMD Radeon Graphics']",$100.99 ,4.9,Sold & Shipped by Newegg
15,Intel Core i7-13700KF - Core i7 13th Gen Raptor Lake 16-Core (8P+8E) P-core Base Frequency: 3.4 GHz E-core Base Frequency: 2.5 GHz LGA 1700 125W Desktop Processor - BX8071513700KF,"['10nm Raptor Lake 125W \r', '30MB L3 Cache \r', '24MB L2 Cache \r', 'Windows 11 Supported']",$397.98 ,4.9,Sold & Shipped by Newegg
16,AMD Ryzen 5 5600X - Ryzen 5 5000 Series Vermeer (Zen 3) 6-Core 3.7 GHz Socket AM4 65W Desktop Processor - 100-100000065BOX,"['7nm Vermeer (Zen 3) 65W \r', '32MB L3 Cache \r', '3MB L2 Cache \r', 'Windows 11 Supported']",$169.99 ,4.8,
17,Intel Core i7-11700K - Core i7 11th Gen Rocket Lake 8-Core 3.6 GHz LGA 1200 125W Intel UHD Graphics 750 Desktop Processor - BX8070811700K,"['14nm Rocket Lake 125W \r', '16MB L3 Cache \r', 'Intel UHD Graphics 750 \r', 'Windows 11 Supported']",$295.99 ,4.8,Sold & Shipped by Newegg
18,AMD Ryzen 9 5900X - Ryzen 9 5000 Series Vermeer (Zen 3) 12-Core 3.7 GHz Socket AM4 105W Desktop Processor - 100-100000061WOF,"['7nm Vermeer (Zen 3) 105W \r', '64MB L3 Cache \r', '6MB L2 Cache \r', 'Windows 11 Supported']",$347.49 ,4.8,
19,Intel Core i5-13600K - Core i5 13th Gen Raptor Lake 14-Core (6P+8E) 3.5 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071513600K,"['10nm Raptor Lake 125W \r', '24MB L3 Cache \r', '20MB L2 Cache \r', 'Intel UHD Graphics 770 \r', 'Windows 11 Supported']",$319.98 ,4.9,Sold & Shipped by Newegg
20,AMD Ryzen 5 5600 - Ryzen 5 5000 Series Vermeer (Zen 3) 6-Core 3.5 GHz Socket AM4 65W Desktop Processor - 100-100000927BOX,"['7nm Vermeer (Zen 3) 65W \r', '32MB L3 Cache \r', '3MB L2 Cache \r', 'Windows 11 Supported']",$136.99 ,4.8,
21,Intel Core i5-12400 - Core i5 12th Gen Alder Lake 6-Core 2.5 GHz LGA 1700 65W Intel UHD Graphics 730 Desktop Processor - BX8071512400,"['Intel 7 Alder Lake Processor Base Power: 65W\r', 'Maximum Turbo Power: 117W \r', '18MB L3 Cache \r', '7.5MB L2 Cache \r', 'Intel UHD Graphics 730 \r', 'Windows 11 Supported\r', 'Intel Laminar RM1 CPU Cooler']",$189.98 ,4.8,
22,AMD Ryzen 7 5700X - Ryzen 7 5000 Series 8-Core 3.4 GHz Socket AM4 65W Desktop Processor - 100-100000926WOF,"['7nm 65W \r', '32MB L3 Cache \r', '4MB L2 Cache \r', 'Windows 11 Supported']",$209.00 ,4.6,Sold & Shipped by Newegg
23,Intel Core i3-12100F - Core i3 12th Gen Alder Lake Quad-Core 3.3 GHz LGA 1700 58W Desktop Processor - BX8071512100F,"['Intel 7 Alder Lake Processor Base Power: 58W\r', 'Maximum Turbo Power: 89W \r', '12MB L3 Cache \r', '5MB L2 Cache \r', 'Windows 11 Supported\r', 'Intel Laminar RM1 CPU Cooler']",$108.99 ,5.0,
24,AMD Ryzen 5 4500 - Ryzen 5 4000 Series 6-Core Socket AM4 65W Desktop Processor - 100-100000644BOX,['65W'],$78.99 ,4.7,Sold & Shipped by Newegg
25,Intel Core i9-12900KS - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 3.4 GHz LGA 1700 150W Intel UHD Graphics 770 Desktop Processor - BX8071512900KS,"['Intel 7 Alder Lake Processor Base Power: 150W', 'Maximum Turbo Power: 241W \r', '30MB L3 Cache \r', '14MB L2 Cache \r', 'Intel UHD Graphics 770 \r', 'Windows 11 Supported']",$524.99 ,4.7,
26,AMD Ryzen 7 5700G - Ryzen 7 5000 G-Series Cezanne (Zen 3) 8-Core 3.8 GHz Socket AM4 65W AMD Radeon Graphics Desktop Processor - 100-100000263BOX,"['7nm Cezanne (Zen 3) 65W \r', '16MB L3 Cache \r', '4MB L2 Cache \r', 'AMD Radeon Graphics \r', 'Windows 11 Supported']",$195.00 ,4.8,
27,Intel Core i5-11400 - Core i5 11th Gen Rocket Lake 6-Core 2.6 GHz LGA 1200 65W Intel UHD Graphics 730 Desktop Processor - BX8070811400,"['14nm Rocket Lake 65W \r', '12MB L3 Cache \r', 'Intel UHD Graphics 730 \r', 'Windows 11 Supported']",$149.99 ,4.8,
28,AMD Ryzen Threadripper PRO 5965WX - Ryzen Threadripper PRO Chagall PRO (Zen 3) 24-Core 3.8 GHz Socket sWRX8 280W Desktop Processor - 100-100000446WOF,"['7nm Chagall PRO (Zen 3) 280W \r', '128MB L3 Cache \r', '12MB L2 Cache \r', 'Windows 11 Supported']","$2,399.00 ",,
29,Intel Core i5-12600KF - Core i5 12th Gen Alder Lake 10-Core (6P+4E) 3.7 GHz LGA 1700 125W Desktop Processor - BX8071512600KF,"['Intel 7 Alder Lake Processor Base Power: 125W', 'Maximum Turbo Power: 150W \r', '20MB L3 Cache \r', '9.5MB L2 Cache \r', 'Windows 11 Supported']",$228.99 ,4.7,Sold & Shipped by Newegg
30,AMD Ryzen Threadripper PRO 5955WX - Chagall PRO (Zen 3) 16-Core 4.0 GHz Socket sWRX8 280W Desktop Processor - 100-100000447WOF,"['7nm Chagall PRO (Zen 3) 280W \r', '64MB L3 Cache \r', '8MB L2 Cache \r', 'Windows 11 Supported\r', 'Cooling device not included - Processor Only']","$1,299.99 ",,
31,Intel Core i5-13600KF - Core i5 13th Gen Raptor Lake 14-Core (6P+8E) 3.5 GHz LGA 1700 125W Desktop Processor - BX8071513600KF,"['10nm Raptor Lake 125W \r', '24MB L3 Cache \r', '20MB L2 Cache \r', 'Windows 11 Supported']",$308.78 ,4.9,Sold & Shipped by Newegg
32,AMD Ryzen 9 7950X - 16-Core 4.5 GHz - Socket AM5 - 170W Desktop Processor (100-100000514WOF),"['5nm 170W \r', '64MB L3 Cache \r', '16MB L2 Cache\r', 'Cooling Device not included – Processor Only']",$573.98 ,4.9,
33,Intel Core i5-12400F - Core i5 12th Gen Alder Lake 6-Core 2.5 GHz LGA 1700 65W Desktop Processor - BX8071512400F,"['Intel 7 Alder Lake Processor Base Power: 65W\r', 'Maximum Turbo Power: 117W \r', '18MB L3 Cache \r', '7.5MB L2 Cache \r', 'Windows 11 Supported\r', 'Intel Laminar RM1 CPU Cooler']",$172.99 ,4.9,Sold & Shipped by Newegg
34,AMD Ryzen Threadripper PRO 5975WX - Ryzen Threadripper PRO Chagall PRO (Zen 3) 32-Core 3.6 GHz Socket sWRX8 280W Desktop Processor - 100-100000445WOF,"['7nm Chagall PRO (Zen 3) 280W \r', '128MB L3 Cache \r', '16MB L2 Cache \r', 'Windows 11 Supported']","$3,299.00 ",,Sold & Shipped by Newegg
35,Intel Core i9-13900KF - Core i9 13th Gen Raptor Lake 24-Core (8P+16E) P-core Base Frequency: 3.0 GHz E-core Base Frequency: 2.2 GHz LGA 1700 125W Desktop Processor - BX8071513900KF,"['Raptor Lake 125W \r', '36MB L3 Cache \r', '32MB L2 Cache']",$574.00 ,4.9,
36,Open Box: AMD Ryzen 5 5600G - Ryzen 5 5000 G-Series Cezanne (Zen 3) 6-Core 3.9 GHz Socket AM4 65W AMD Radeon Graphics Desktop Processor - 100-000000252,"['Tray CPU\r', '7nm Cezanne (Zen 3) 65W \r', '16MB L3 Cache \r', '3MB L2 Cache \r', 'AMD Radeon Graphics']",$339.99 –,,Sold & Shipped by Newegg
37,Intel Core i9-12900KF - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 3.2 GHz LGA 1700 125W Desktop Processor - BX8071512900KF,"['Intel 7 Alder Lake Processor Base Power: 125W', 'Maximum Turbo Power: 241W \r', '30MB L3 Cache \r', '14MB L2 Cache \r', 'Windows 11 Supported']",$414.97 ,4.8,Sold & Shipped by Newegg
38,Open Box: AMD RYZEN 5 3600X 6-Core 3.8 GHz (4.4 GHz Max Boost) Socket AM4 95W 100-100000022 Desktop Processor – OEM,"['3rd Gen Ryzen\r', 'Socket AM4\r', 'Max Boost Frequency 4.4 GHz\r', 'DDR4 Support\r', 'L2 Cache 3MB\r', 'L3 Cache 32MB\r', 'Thermal Design Power 95W']",$230.99 –,,Sold & Shipped by Newegg
39,Intel Core i7-12700F - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 2.1 GHz LGA 1700 65W Desktop Processor - BX8071512700F,"['Intel 7 Alder Lake Processor Base Power: 65W\r', 'Maximum Turbo Power: 180W \r', '25MB L3 Cache \r', '12MB L2 Cache \r', 'Windows 11 Supported\r', 'Intel Laminar RM1 CPU Cooler']",$299.80 ,4.8,Sold & Shipped by Newegg
40,Open Box: AMD EPYC 7313P Milan 3.0 GHz Socket SP3 155W 100-000000339 Server Processor,"['7 nm Milan \r', '128MB L3 Cache \r', '155W']",$974.99 –,,
41,Intel Core i9-10900K - Core i9 10th Gen Comet Lake 10-Core 3.7 GHz LGA 1200 125W Intel UHD Graphics 630 Desktop Processor - BX8070110900K,"['14nm 125W ', '20MB L3 Cache ', 'Intel UHD Graphics 630', 'Compatible with Intel 500 Series Boards']",$339.99 ,4.8,Sold & Shipped by Newegg
42,Intel Core i5-12600 - Core i5 12th Gen Alder Lake 6-Core 3.3 GHz LGA 1700 65W Intel UHD Graphics 770 Desktop Processor - BX8071512600,"['Intel 7 Alder Lake Processor Base Power: 65W', 'Maximum Turbo Power: 117W \r', '18MB L3 Cache \r', '7.5MB L2 Cache \r', 'Intel UHD Graphics 770 \r', 'Windows 11 Supported']",$260.00 ,4.7,Sold & Shipped by Newegg
43,Intel Core i5-10600K - Core i5 10th Gen Comet Lake 6-Core 4.1 GHz LGA 1200 125W Intel UHD Graphics 630 Desktop Processor - BX8070110600K,"['10th Gen', '6 Cores & 12 Threads', '4.1 GHz Clock Speed', '4.8 GHz Maximum Turbo Frequency', 'LGA 1200 Socket', 'Intel UHD Graphics 630', 'Dual-Channel DDR4-2666 Memory', 'Intel Optane Memory Support', 'No thermal solution included', 'Compatible with Intel 500 Series Chipset Based Motherboards']",$195.40 ,4.8,Sold & Shipped by Newegg
44,Intel Core i9-11900KF - Core i9 11th Gen Rocket Lake 8-Core 3.5 GHz LGA 1200 125W Desktop Processor - BX8070811900KF,"['14nm Rocket Lake 125W \r', '16MB L3 Cache \r', 'Windows 11 Supported']",$319.99 ,4.8,
45,Intel Core i5-12500 - Core i5 12th Gen Alder Lake 6-Core 3.0 GHz LGA 1700 65W Intel UHD Graphics 770 Desktop Processor - BX8071512500,"['Intel 7 Alder Lake Processor Base Power: 65W', 'Maximum Turbo Power: 117W \r', '18MB L3 Cache \r', '7.5MB L2 Cache \r', 'Intel UHD Graphics 770 \r', 'Windows 11 Supported']",$230.98 ,4.7,
46,Intel Core i9-12900 - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 2.4 GHz LGA 1700 Processor 65W Intel UHD Graphics 770 Desktop Processor - BX8071512900,"['Intel 7 Alder Lake Processor Base Power: 65W', 'Maximum Turbo Power: 202W \r', '30MB L3 Cache \r', '14MB L2 Cache \r', 'Intel UHD Graphics 770 \r', 'Windows 11 Supported']",$519.99 ,4.6,Sold & Shipped by Newegg
47,Intel Core i5-11600K - Core i5 11th Gen Rocket Lake 6-Core 3.9 GHz LGA 1200 125W Intel UHD Graphics 750 Desktop Processor - BX8070811600K,"['14nm Rocket Lake 125W \r', '12MB L3 Cache \r', 'Intel UHD Graphics 750 \r', 'Windows 11 Supported']",$209.98 ,4.8,Sold & Shipped by Newegg
48,Intel Core i3-10100 - Core i3 10th Gen Comet Lake Quad-Core 3.6 GHz LGA 1200 65W Intel UHD Graphics 630 Desktop Processor - BX8070110100,"['14nm Comet Lake 65W ', '6MB L3 Cache ', 'Intel UHD Graphics 630', 'Compatible with Intel 500 Series Chipset Based Motherboards']",$109.99 ,4.8,Sold & Shipped by Newegg
49,Intel Core i5-11600 - Core i5 11th Gen Rocket Lake 6-Core 2.8 GHz LGA 1200 65W Intel UHD Graphics 750 Desktop Processor - BX8070811600,"['14nm Rocket Lake 65W \r', '12MB L3 Cache \r', 'Intel UHD Graphics 750 \r', 'Windows 11 Supported']",$247.98 ,4.8,Sold & Shipped by Newegg
50,Intel Core i7-12700KF - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 3.6 GHz LGA 1700 125W Desktop Processor - BX8071512700KF,"['Intel 7 Alder Lake Processor Base Power: 125W', 'Maximum Turbo Power: 190W \r', '25MB L3 Cache \r', '12MB L2 Cache \r', 'Windows 11 Supported']",$296.98 ,4.9,
51,Intel Core i3-10105 - Core i3 10th Gen Comet Lake Quad-Core 3.7 GHz LGA 1200 65W Intel UHD Graphics 630 Desktop Processor - BX8070110105,"['14nm Comet Lake 65W \r', '6MB L3 Cache \r', '6MB L2 Cache \r', 'Intel UHD Graphics 630 \r', 'Windows 11 Supported']",$110.99 ,4.8,Sold & Shipped by Newegg
52,Intel Core i7-12700 - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 2.1 GHz LGA 1700 65W Intel UHD Graphics 770 Desktop Processor - BX8071512700,"['Intel 7 Alder Lake Processor Base Power: 65W', 'Maximum Turbo Power: 180W \r', '25MB L3 Cache \r', '12MB L2 Cache \r', 'Intel UHD Graphics 770 \r', 'Windows 11 Supported']",$328.94 ,4.9,Sold & Shipped by Newegg
53,Intel Core i7 10th Gen - Core i7-10700K Comet Lake 8-Core 3.8 GHz LGA 1200 125W Desktop Processor w/ Intel UHD Graphics 630,"['MPN: BX8070110700K', '10th Gen', '8 Cores & 16 Threads', '3.8 GHz Clock Speed', '5.1 GHz Maximum Turbo Frequency', 'Compatible with Intel 400 series chipset based motherboards', 'LGA 1200 Socket', 'Intel UHD Graphics 630', 'Intel Turbo Boost Max Technology 3.0 support', 'Intel Optane Memory Support', 'No thermal solution included', 'Compatible with Intel 500 Series Chipset Based Motherboards']",$269.98 ,4.8,
54,Intel Core i9-10850K Comet Lake 10-Core 3.6 GHz LGA 1200 125W  Desktop Processor Intel UHD Graphics 630 - BX8070110850K,"['10-core/20 threads', 'Up to 5.2 GHz Unlocked', 'Intel UHD Graphics 630', 'Compatible with Intel 400 series chipset based motherboards', 'Compatible with Intel 500 Series Chipset Based motherboards', 'Intel Turbo Boost Max Technology 3.0 Support']",$397.99 ,4.8,Sold & Shipped by Newegg
55,Intel Core i3-10100F - Core i3 10th Gen Comet Lake Quad-Core 3.6 GHz LGA 1200 65W Desktop Processor - BX8070110100F,"['14nm Comet Lake 65W \r', '6MB L3 Cache \r', 'Windows 11 Supported']",$79.99 ,4.8,
56,Intel Xeon E-2134 Coffee Lake 3.5 GHz LGA 1151 71W BX80684E2134 Server Processor,"['14nm Coffee Lake', '8MB Cache', '71W', 'ECC Memory Supported', 'Cooling device not included - Processor Only']",$291.99 ,5.0,Sold & Shipped by Newegg
57,Intel Core i9-11900F - Core i9 11th Gen Rocket Lake 8-Core 2.5 GHz LGA 1200 65W Desktop Processor - BX8070811900F,"['14nm Rocket Lake 65W \r', '16MB L3 Cache \r', 'Windows 11 Supported']",$429.98 ,4.8,Sold & Shipped by Newegg
58,Intel Core i9-11900 - Core i9 11th Gen Rocket Lake 8-Core 2.5 GHz LGA 1200 65W Intel UHD Graphics 750 Desktop Processor - BX8070811900,"['14nm Rocket Lake 65W \r', '16MB L3 Cache \r', 'Intel UHD Graphics 750 \r', 'Windows 11 Supported']",$459.99 ,4.8,Sold & Shipped by Newegg
59,Intel Core i9-10900F - Core i9 10th Gen Comet Lake 10-Core 2.8 GHz LGA 1200 65W Desktop Processor - BX8070110900F,"['14nm Comet Lake 65W\r', 'Core i9 10th Gen\r', '2.8 GHz Operating Frequency\r', '5.20 GHz Max Turbo Frequency\r', 'DDR4 2933 Memory type\r', '20MB L3 Cache\r', 'Windows 11 Supported']",$405.99 ,4.8,Sold & Shipped by Newegg
60,Intel Core i9-12900F - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 2.4 GHz LGA 1700 Processor 60W Desktop Processor - BX8071512900F,"['Intel 7 Alder Lake Processor Base Power: 60W', 'Maximum Turbo Power: 202W \r', '30MB L3 Cache \r', '14MB L2 Cache \r', 'Windows 11 Supported']",$488.98 ,,
61,Intel Xeon E-2176G Coffee Lake 3.7 GHz LGA 1151 80W BX80684E2176G Server Processor Intel UHD Graphics P630,"['14nm Coffee Lake', '12MB Cache', '80W', 'Intel UHD Graphics P630', 'ECC Memory Supported', 'Cooling device not included - Processor Only']",$412.99 ,5.0,Sold & Shipped by Newegg
62,Intel Xeon E-2336 Rocket Lake 2.9 GHz LGA 1200 65W BX80708E2336 Server Processor,"['14 nm Rocket Lake \r', '12MB L3 Cache \r', '65W']",$337.99 ,,Sold & Shipped by Newegg
63,Xeon W1250 Processor,[None],$287.99 ,,Sold & Shipped by Newegg
64,Xeon W1250P Processor,[None],$365.99 –,,Sold & Shipped by Newegg
65,"Intel Xeon Silver 4208 8-Core, 16-Thread, 2.1 GHz (3.2 GHz Turbo) LGA 3647 85W BX806954208 Server Processor","['14 nm \r', '11MB L3 Cache \r', '85W']",$484.99 ,4.3,
66,Intel Xeon W-1370P Rocket Lake 3.6 GHz 8 Cores / 16 Threads 16MB LGA 1200 Server Processor BX80708W1370P,"['14 nm Rocket Lake \r', '16MB L3 Cache \r', '125W']",$482.99 ,,Sold & Shipped by Newegg
67,Intel Xeon E-2146G Coffee Lake 3.5 GHz LGA 1151 80W BX80684E2146G Server Processor Intel UHD Graphics P630,"['14nm Coffee Lake\r', '12MB Cache\r', '80W\r', 'Intel UHD Graphics P630\r', 'ECC Memory Supported\r', 'Thermal Solution Included']",$373.99 ,4.0,
68,Intel Xeon E-2174G Coffee Lake 3.8 GHz LGA 1151 71W BX80684E2174G Server Processor Intel UHD Graphics P630,"['14nm Coffee Lake', '8MB Cache', '71W', 'Intel UHD Graphics P630', 'ECC Memory Supported', 'Cooling device not included - Processor Only']",$385.99 ,5.0,Sold & Shipped by Newegg
69,Intel Core i7-10700 - Core i7 10th Gen Comet Lake 8-Core 2.9 GHz LGA 1200 65W Intel UHD Graphics 630 Desktop Processor - BX8070110700,"['14nm Comet Lake 65W ', '16MB L3 Cache ', 'Intel UHD Graphics 630', 'Compatible with Intel 500 Series Chipset Based Motherboards']",$256.99 ,4.8,
70,Intel Xeon E-2334 Rocket Lake 3.4 GHz LGA 1200 65W BX80708E2334 Server Processor,"['14 nm Rocket Lake \r', '8MB L3 Cache \r', '65W']",$299.99 ,,Sold & Shipped by Newegg
71,Intel E-2226G Coffee Lake 3.4 GHz LGA 1151 80W BX80684E2226G Server Processor,"['14 nm Coffee Lake \r', '12MB L3 Cache \r', '80W']",$300.99 ,,Sold & Shipped by Newegg
72,Intel 3206R Cascade Lake 1.9 GHz LGA 3647 85W BX806953206R Server Processor,"['14 nm Cascade Lake \r', '11MB L3 Cache \r', '85W']",$349.99 ,,
73,"Intel Xeon Silver 4216 16-Core, 32-Thread, 2.1 GHz (3.2 GHz Turbo) LGA 3647 100W BX806954216 Server Processor","['14 nm \r', '22MB L3 Cache \r', '100W']","$1,027.99 ",4.3,Sold & Shipped by Newegg
74,Intel Xeon Bronze 3204 Cascade Lake 1.9 GHz LGA 3647 85W BX806953204 Server Processor,"['14 nm Cascade Lake \r', '8.25MB L3 Cache \r', '85W']",$255.99 ,,
75,Intel Xeon W-1370 Rocket Lake Octa-core (8 Core) 2.90 GHz LGA 1200 16MB Cache Server Processor Model BX80708W1370,"['14 nm Rocket Lake \r', '16MB L3 Cache \r', '80W']",$415.99 ,,Sold & Shipped by Newegg
76,Intel Xeon E-2124 Coffee Lake 3.3 GHz  (4.3 GHz Turbo)  LGA 1151 71W BX80684E2124 Server Processor,"['14nm Coffee Lake\r', '8MB Cache\r', '71W\r', 'ECC Memory Supported\r', 'Cooling device not included - Processor Only']",$231.99 ,,
77,Intel Xeon E-2234 3.6 GHz 71W BX80684E2234 Server Processor,"['8MB L3 Cache \r', '71W']",$294.99 ,5.0,
78,Intel Core i7-11700 - Core i7 11th Gen Rocket Lake 8-Core 2.5 GHz LGA 1200 65W Intel UHD Graphics 750 Desktop Processor - BX8070811700,"['14nm Rocket Lake 65W \r', '16MB L3 Cache \r', 'Intel UHD Graphics 750 \r', 'Windows 11 Supported']",$287.99 ,4.8,Sold & Shipped by Newegg
79,Intel Core i3-10105F - Core i3 10th Gen Comet Lake Quad-Core 3.7 GHz LGA 1200 65W Desktop Processor - BX8070110105F,"['14nm Comet Lake 65W \r', '6MB L3 Cache \r', 'Windows 11 Supported\r', 'Fan Cooler Included']",$79.99 ,4.8,Sold & Shipped by Newegg
80,Intel Xeon W-1350 Rocket Lake 3.3 GHz LGA 1200 80W BX80708W1350 Server Processor,"['14 nm Rocket Lake \r', '12MB L3 Cache \r', '80W']",$289.99 ,,Sold & Shipped by Newegg
81,Intel Xeon W-2223 Cascade Lake 3.6 GHz LGA 2066 120W BX80695W2223 Server Processor,"['14 nm Cascade Lake \r', '8.25MB L3 Cache \r', '120W']",$334.99 ,5.0,
82,"Intel Xeon Silver 4210 10-Core, 20-Thread, 2.2 GHz (3.2 GHz Turbo) LGA 3647 85W BX806954210 Server Processor","['14 nm \r', '13.75MB L3 Cache \r', '85W']",$576.99 ,5.0,
83,Intel Xeon E E-2224G Quad-core 4 Core 3.50 GHz Processor 8 MB Cache 4.70 GHz Overclocking Speed 14 nm Socket H4 LGA-1151 Intel UHD Graphics P630 Graphics 71W 4 Threads BX80684E2224G,"['14 nm Coffee Lake \r', '8MB L3 Cache \r', '71W']",$270.99 ,,
84,Intel Xeon E-2124G Coffee Lake 3.4 GHz LGA 1151 71W BX80684E2124G Server Processor Intel UHD Graphics P630,"['14nm Coffee Lake', '8MB Cache', '71W', 'Intel UHD Graphics P630', 'ECC Memory Supported', 'Cooling device not included - Processor Only']",$270.99 ,5.0,Sold & Shipped by Newegg
85,Intel Xeon E-2136 Coffee Lake 3.3 GHz LGA 1151 80W BX80684E2136 Server Processor,"['14 nm Coffee Lake\r', '12MB Cache\r', '80W\r', 'ECC Memory Supported']",$341.99 ,5.0,Sold & Shipped by Newegg
86,Open Box: Intel Core i7-10700F - Core i7 10th Gen Comet Lake 8-Core 2.9 GHz LGA 1200 65W Desktop Processor (ABS Only) - CM8070104282329,"['14nm Comet Lake 65W \r', '16MB L3 Cache \r', 'Windows 11 Supported']",$283.99 –,,
